old_province;old_district;old_community;old_settlement_type;old_settlement_name;current_region;current_district;current_community;current_settlement_type;current_settlement_name;latitude;longitude;mark_type;case_signature;archive;fonds;"series

";record;additional_case_signature;case_date;inventory_year;pages_count;inventory_start_page;scans_url;case_title;notes;created_by
Київське воєводство;Житомирський повіт;Махнівський ключ;Містечко;Махнівка;Вінницька обл.;Хмільницький р-н;Махнівська ОТГ;Село;Махнівка;49.7202412794062;28.67118013641928;1;ЦДІАК Ф49. О3. С212;ЦДІАК;49;3;212;;;1795;273;;;;;c22440cc-0fe5-418d-be17-7cd07a74893c
Київське воєводство;Житомирський повіт;Махнівський ключ;Село;Медведівка;Вінницька обл.;Хмільницький р-н;Махнівська ОТГ;Село;Медведівка;49.74731078605156;28.664061956324876;1;ЦДІАК Ф49. О3. С212;ЦДІАК;49;3;212;;;1795;273;;;;;c22440cc-0fe5-418d-be17-7cd07a74893c
Київське воєводство;Житомирський повіт;Махнівський ключ;Село;Жежелів;Вінницька обл.;Хмільницький р-н;Глуховецька ОТГ;Село;Жежелів;49.796089617641904;28.64785858328284;1;ЦДІАК Ф49. О3. С212;ЦДІАК;49;3;212;;;1795;273;;;;;c22440cc-0fe5-418d-be17-7cd07a74893c
Київське воєводство;Житомирський повіт;Махнівський ключ;Село;Глухівці;Вінницька обл.;Хмільницький р-н;Глуховецька ОТГ;Село;Глухівці;49.77623388884417;28.727151916115872;1;ЦДІАК Ф49. О3. С212;ЦДІАК;49;3;212;;;1795;273;;;;;c22440cc-0fe5-418d-be17-7cd07a74893c
Київське воєводство;Житомирський повіт;Махнівський ключ;Село;Пляхова;Вінницька обл.;Хмільницький р-н;Глуховецька ОТГ;Село;Пляхова;49.74089169906793;28.734225039065272;1;ЦДІАК Ф49. О3. С212;ЦДІАК;49;3;212;;;1795;273;;;;;c22440cc-0fe5-418d-be17-7cd07a74893c
Київське воєводство;Житомирський повіт;Махнівський ключ;Село;Пиковець;Вінницька обл.;Хмільницький р-н;Козятинська ОТГ;Село;Пиковець;49.68059206783239;28.750969573251815;1;ЦДІАК Ф49. О3. С212;ЦДІАК;49;3;212;;;1795;273;;;;;c22440cc-0fe5-418d-be17-7cd07a74893c
Київське воєводство;Житомирський повіт;Махнівський ключ;Село;Пустоха;Вінницька обл.;Хмільницький р-н;Козятинська ОТГ;Село;Пустоха;49.67872401146283;28.723398831558335;1;ЦДІАК Ф49. О3. С212;ЦДІАК;49;3;212;;;1795;273;;;;;c22440cc-0fe5-418d-be17-7cd07a74893c
Київське воєводство;Житомирський повіт;Махнівський ключ;Село;Рубанка;Вінницька обл.;Хмільницький р-н;Козятинська ОТГ;Село;Рубанка;49.66097389630644;28.78734563067631;1;ЦДІАК Ф49. О3. С212;ЦДІАК;49;3;212;;;1795;273;;;;;c22440cc-0fe5-418d-be17-7cd07a74893c
Київське воєводство;Житомирський повіт;Махнівський ключ;Село;Куманівка;Вінницька обл.;Хмільницький р-н;Козятинська ОТГ;Село;Куманівка;49.650560752403834;28.703064696435007;1;ЦДІАК Ф49. О3. С212;ЦДІАК;49;3;212;;;1795;273;;;;;c22440cc-0fe5-418d-be17-7cd07a74893c
Київське воєводство;Житомирський повіт;Махнівський ключ;Село;Туча;Вінницька обл.;Хмільницький р-н;Махнівська ОТГ;Село;Туча;49.637900047886774;28.65924756983949;1;ЦДІАК Ф49. О3. С212;ЦДІАК;49;3;212;;;1795;273;;;;;c22440cc-0fe5-418d-be17-7cd07a74893c
